date,av_eurusd_close
2016-04-13,1.12790
2016-04-12,1.13858
2016-04-11,1.14099
2016-04-08,1.13950
2016-04-07,1.13722
2016-04-06,1.13962
2016-04-05,1.13828
2016-04-04,1.13881
2016-04-01,1.13940
2016-03-31,1.13778
2016-03-30,1.13322
2016-03-29,1.12879
2016-03-28,1.11968
2016-03-25,1.11630
2016-03-24,1.11770
2016-03-23,1.11820
2016-03-22,1.12162
2016-03-21,1.12393
2016-03-18,1.12690
2016-03-17,1.13154
2016-03-16,1.12150
2016-03-15,1.11062
2016-03-14,1.11029
2016-03-11,1.11520
2016-03-10,1.11791
2016-03-09,1.09964
2016-03-08,1.10048
2016-03-07,1.10143
2016-03-04,1.10040
2016-03-03,1.09488
2016-03-02,1.08692
2016-03-01,1.08665
2016-02-29,1.08837
2016-02-26,1.09310
2016-02-25,1.10199
2016-02-24,1.10163
2016-02-23,1.10195
2016-02-22,1.10271
2016-02-19,1.11264
2016-02-18,1.11088
2016-02-17,1.11286
2016-02-16,1.11359
2016-02-15,1.11631
2016-02-12,1.12540
2016-02-11,1.13129
2016-02-10,1.12776
2016-02-09,1.12870
2016-02-08,1.11987
2016-02-05,1.11521
2016-02-04,1.11999
2016-02-03,1.10811
2016-02-02,1.09238
2016-02-01,1.08894
2016-01-29,1.08270
2016-01-28,1.09380
2016-01-27,1.09023
2016-01-26,1.08651
2016-01-25,1.08494
2016-01-22,1.07934
2016-01-21,1.08705
2016-01-20,1.08916
2016-01-19,1.09114
2016-01-18,1.08906
2016-01-15,1.09140
2016-01-14,1.08608
2016-01-13,1.08819
2016-01-12,1.08474
2016-01-11,1.08621
2016-01-08,1.09193
2016-01-07,1.09210
2016-01-06,1.07744
2016-01-05,1.07524
2016-01-04,1.08286
2016-01-01,1.08584
2015-12-31,1.08584
2015-12-30,1.09252
2015-12-29,1.09222
2015-12-28,1.09745
2015-12-25,1.09730
2015-12-24,1.09660
2015-12-23,1.09031
2015-12-22,1.09502
2015-12-21,1.09080
2015-12-18,1.08629
2015-12-17,1.08341
2015-12-16,1.08909
2015-12-15,1.09325
2015-12-14,1.09993
2015-12-11,1.09865
2015-12-10,1.09398
2015-12-09,1.10170
2015-12-08,1.08935
2015-12-07,1.08321
2015-12-04,1.08818
2015-12-03,1.09268
2015-12-02,1.06077
2015-12-01,1.06245
2015-11-30,1.05714
2015-11-27,1.05874
2015-11-26,1.06037
2015-11-25,1.06206
2015-11-24,1.06449
2015-11-23,1.06335
2015-11-20,1.06419
2015-11-19,1.07290
2015-11-18,1.06601
2015-11-17,1.06456
2015-11-16,1.06835
2015-11-13,1.07720
2015-11-12,1.08066
2015-11-11,1.07579
2015-11-10,1.07206
2015-11-09,1.07557
2015-11-06,1.07356
2015-11-05,1.08824
2015-11-04,1.08669
2015-11-03,1.09620
2015-11-02,1.10134
2015-10-30,1.10110
2015-10-29,1.09869
2015-10-28,1.09295
2015-10-27,1.10369
2015-10-26,1.10595
2015-10-23,1.10150
2015-10-22,1.11060
2015-10-21,1.13411
2015-10-20,1.13524
2015-10-19,1.13269
2015-10-16,1.13473
2015-10-15,1.13760
2015-10-14,1.14741
2015-10-13,1.13868
2015-10-12,1.13559
2015-10-09,1.13550
2015-10-08,1.12892
2015-10-07,1.12366
2015-10-06,1.12646
2015-10-05,1.11905
2015-10-02,1.12070
2015-10-01,1.11906
2015-09-30,1.11715
2015-09-29,1.12545
2015-09-28,1.12343
2015-09-25,1.11920
2015-09-24,1.11766
2015-09-23,1.11860
2015-09-22,1.11307
2015-09-21,1.11864
2015-09-18,1.13080
2015-09-17,1.14138
2015-09-16,1.12919
2015-09-15,1.12714
2015-09-14,1.13100
2015-09-11,1.13390
2015-09-10,1.12875
2015-09-09,1.12179
2015-09-08,1.12070
2015-09-07,1.11706
2015-09-04,1.11490
2015-09-03,1.11198
2015-09-02,1.12211
2015-09-01,1.12980
2015-08-31,1.12177
2015-08-28,1.11798
2015-08-27,1.12415
2015-08-26,1.13372
2015-08-25,1.15287
2015-08-24,1.15972
2015-08-21,1.13836
2015-08-20,1.12328
2015-08-19,1.11152
2015-08-18,1.10254
2015-08-17,1.10761
2015-08-14,1.11040
2015-08-13,1.11532
2015-08-12,1.11553
2015-08-11,1.10438
2015-08-10,1.10175
2015-08-07,1.09617
2015-08-06,1.09260
2015-08-05,1.09017
2015-08-04,1.08893
2015-08-03,1.09528
2015-07-31,1.09804
2015-07-30,1.09309
2015-07-29,1.09887
2015-07-28,1.10625
2015-07-27,1.10858
2015-07-24,1.09800
2015-07-23,1.09840
2015-07-22,1.09297
2015-07-21,1.09359
2015-07-20,1.08293
2015-07-17,1.08280
2015-07-16,1.08792
2015-07-15,1.09586
2015-07-14,1.10123
2015-07-13,1.10067
2015-07-10,1.11516
2015-07-09,1.10703
2015-07-08,1.10749
2015-07-07,1.10044
2015-07-06,1.10542
2015-07-03,1.11150
2015-07-02,1.10894
2015-07-01,1.10440
2015-06-30,1.11288
2015-06-29,1.12158
2015-06-26,1.11617
2015-06-25,1.12006
2015-06-24,1.12051
2015-06-23,1.11712
2015-06-22,1.13416
2015-06-19,1.13500
2015-06-18,1.13717
2015-06-17,1.13410
2015-06-16,1.12466
2015-06-15,1.12760
2015-06-12,1.12571
2015-06-11,1.12392
2015-06-10,1.13236
2015-06-09,1.12727
2015-06-08,1.12793
2015-06-05,1.11068
2015-06-04,1.12027
2015-06-03,1.12654
2015-06-02,1.11511
2015-06-01,1.09275
2015-05-29,1.09908
2015-05-28,1.09691
2015-05-27,1.09037
2015-05-26,1.08850
2015-05-25,1.09770
2015-05-22,1.10020
2015-05-21,1.11078
2015-05-20,1.10952
2015-05-19,1.11461
2015-05-18,1.13143
2015-05-15,1.14420
2015-05-14,1.14034
2015-05-13,1.13527
2015-05-12,1.12153
2015-05-11,1.11484
2015-05-08,1.11920
2015-05-07,1.12380
2015-05-06,1.13429
2015-05-05,1.11796
2015-05-04,1.11454
2015-05-01,1.11958
2015-04-30,1.12109
2015-04-29,1.11180
2015-04-28,1.09748
2015-04-27,1.08750
2015-04-24,1.08695
2015-04-23,1.08148
2015-04-22,1.07192
2015-04-21,1.07375
2015-04-20,1.07377
2015-04-17,1.08051
2015-04-16,1.07600
2015-04-15,1.06756
2015-04-14,1.06506
2015-04-13,1.05725
2015-04-10,1.05968
2015-04-09,1.06633
2015-04-08,1.07835
2015-04-07,1.08240
2015-04-06,1.09308
2015-04-03,1.09635
2015-04-02,1.08757
2015-04-01,1.07696
2015-03-31,1.07393
2015-03-30,1.08289
2015-03-27,1.08935
2015-03-26,1.08789
2015-03-25,1.09641
2015-03-24,1.09130
2015-03-23,1.09584
2015-03-20,1.08115
2015-03-19,1.06683
2015-03-18,1.08223
2015-03-17,1.05937
2015-03-16,1.05700
2015-03-13,1.05000
2015-03-12,1.06220
2015-03-11,1.05507
2015-03-10,1.06859
2015-03-09,1.08471
2015-03-06,1.08455
2015-03-05,1.10309
2015-03-04,1.10804
2015-03-03,1.11801
2015-03-02,1.11789
2015-02-27,1.11865
2015-02-26,1.11942
2015-02-25,1.13643
2015-02-24,1.13398
2015-02-23,1.13360
2015-02-20,1.13793
2015-02-19,1.13624
2015-02-18,1.14021
2015-02-17,1.14090
2015-02-16,1.13455
2015-02-13,1.13775
2015-02-12,1.14007
2015-02-11,1.13293
2015-02-10,1.13156
2015-02-09,1.13244
2015-02-06,1.13095
2015-02-05,1.14760
2015-02-04,1.13340
2015-02-03,1.14642
2015-02-02,1.13353
2015-01-30,1.12859
2015-01-29,1.13280
2015-01-28,1.12763
2015-01-27,1.13708
2015-01-26,1.12358
2015-01-23,1.12031
2015-01-22,1.13693
2015-01-21,1.16136
2015-01-20,1.15538
2015-01-19,1.16044
2015-01-16,1.15689
2015-01-15,1.16269
2015-01-14,1.17885
2015-01-13,1.17756
2015-01-12,1.18292
2015-01-09,1.18359
2015-01-08,1.17898
2015-01-07,1.18337
2015-01-06,1.18720
2015-01-05,1.19324
2015-01-02,1.19965
2015-01-01,1.21015
2014-12-31,1.20959
2014-12-30,1.21562
2014-12-26,1.21810
2014-12-25,1.22259
2014-12-24,1.21962
2014-12-23,1.21718
2014-12-22,1.22273
2014-12-19,1.22255
2014-12-18,1.22871
2014-12-17,1.23305
2014-12-16,1.25106
2014-12-15,1.24454
2014-12-12,1.24600
2014-12-11,1.24063
2014-12-10,1.24454
2014-12-09,1.23777
2014-12-08,1.23163
2014-12-05,1.22850
2014-12-04,1.23776
2014-12-03,1.23066
2014-12-02,1.23825
2014-12-01,1.24723
2014-11-28,1.24510
